Empresa;Departamento;Municipio;Direccion;No. Orden;Estado;Regional;Centro de Costo;Centro de Costo OPESE;Orden Interna OPESE;Categoria;Codigo;Descripcion;FechaPedido;FechaAprobado;FechaDespacho;FechaDesde;FechaHasta;MesPedido;Clasificacion;Cantidad;Unidad;Precio Bruto Unitario;IVA;Precio Unitario Con Iva;Precio Total;CódigoHomologo;NombreHomologo;PrecioHomologo
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000004;Ambientador 1 - Galon;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;3;GAL;5350;19%;6.366,50;19.099,50;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000009;Blanqueador o hipoclorito 1 - Galon;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;2;GAL;4173;19%;4.965,87;9.931,74;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000012;Bolsas plásticas 1 - Negra 40x55;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;10;PAQ;851;19%;1.012,69;10.126,90;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000017;Bolsas plásticas 15 - Negra 70x90;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;10;PAQ;2483;19%;2.954,77;29.547,70;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000019;Bolsas plásticas 17 - Blanca 70x90;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;10;PAQ;2532;19%;3.013,08;30.130,80;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000025;Bolsas plásticas 22 - Verde 80x110;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;10;PAQ;3935;19%;4.682,65;46.826,50;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000066;Esponjilla 3 - Abrasiva 9x12;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;4;UNI;257;19%;305,83;1.223,32;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000073-8;Guantes 1 - Amarillo Cal 18 a 25 T8;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;1;PAR;2785;19%;3.314,15;3.314,15;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000076-8;Guantes 4 - Rojo Cal 25 T8;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;1;PAR;2863;19%;3.406,97;3.406,97;
LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BOGOTA;BOGOTA, D.C.;CARRERA 58 # 79 - 36;#000109933;Despachado;LATIN LOGISTICS COLOMBIA (AVIANCA DEPRISA);BODEGA GAITAN ;PV-000151;LT-001.0;Aseo;ASE-000077-8;Guantes 5 - Negro cal 35 T8;2024-03-27;2024-04-01;2024-04-15;2024-04-01;2024-04-15;ABRIL;Facturacion sobre pedido;1;PAR;3738;19%;4.448,22;4.448,22;
